ItemType	Code	*ID	*CTC	Equiv1	Equiv2	Repair	Body	BodyLoc1	BodyLoc2	Shoots	Quiver	Throwable	Reload	ReEquip	AutoStack	Magic	Rare	Normal	Beltable	MaxSockets1	MaxSocketsLevelThreshold1	MaxSockets2	MaxSocketsLevelThreshold2	MaxSockets3	TreasureClass	Rarity	StaffMods	Class	VarInvGfx	InvGfx1	InvGfx2	InvGfx3	InvGfx4	InvGfx5	InvGfx6	StorePage	*eol
Demon Bow/Xbow	dbow	27	id0 lvl27	bow	miss	1	1	rarm	larm	bowq		0	0	0	0		1	0	0	4	25	4	40	6	0	3			0								0
Demon Sorc Staff	dstv	144	id0 lvl26	staf	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	5	25	6	40	6	0	1	sor	sor	0								0
Demon Axe	daxe	28	id0 lvl28	mele	wpn5	1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0								0
Demon Knife	dknf	32	id0 lvl32	mele		1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	3			0								0
Demon Polearm	dpol	34	id0 lvl34	mele		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0								0
Demon Javelin	djav	44	id0 lvl44	comb	pole	1	1	rarm	larm			1	1	1	1		1	0	0	4	25	4	40	4	0	3			0								0
Demon Zon Javelin	dajv	121	id1 lvl23	jave	amaz	1	1	rarm	larm			1	1	1	1		1	0	0	2	25	3	40	3	0	1	ama	ama	0								0
Demon Hammer	dham	31	id0 lvl31	blun		1	1	rarm	larm			0	0	0	0		1	0	0	4	25	5	40	6	0	3			0								0
Demon Sorc Orb	dorb	143	id1 lvl4	rod	sorc	1	1	rarm	larm			0	0	0	0		1	0	0	2	25	3	40	3	0	1	sor	sor	0								0
Demon Barb Flurry Throwing	dfth	31	id0 lvl31	comb	barb	1	1	rarm	larm			1	1	1	1		1	0	0	4	25	5	40	6	0	3	bar	bar	0								0
Demon Sword	dswd	30	id0 lvl30	mele	wpn5	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3			0								0
Demon Necro Scythe	dscy	135	id1 lvl61	pole	necr	1	1	rarm	larm			0	0	0	0		1	0	0	3	25	4	40	6	0	3	nec	nec	0								0
Snowball	snbl	21	id0 lvl21	weap		0	1	rarm				0	0	0	0	1		0	0	0	25	0	40	0	0	3			0							misc	0
